"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",105.839299510283,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",108.482696760013,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q4",111.549862444061,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",114.287212414653,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",112.529775065366,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",113.313608510351,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",115.535403996357,
"AUS","HOUSECOST","RENT","IDX2015","Q","2019-Q2",102.448664249896,
"AUS","HOUSECOST","RENT","IDX2015","Q","2019-Q3",102.519707184312,
"AUS","HOUSECOST","RENT","IDX2015","Q","2019-Q4",102.355267560688,
"AUS","HOUSECOST","RENT","IDX2015","Q","2020-Q1",102.515578831399,
"AUS","HOUSECOST","RENT","IDX2015","Q","2020-Q2",101.272034031101,
"AUS","HOUSECOST","RENT","IDX2015","Q","2020-Q3",101.068643808916,
"AUS","HOUSECOST","RENT","IDX2015","Q","2020-Q4",100.977894057388,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",125.997744514299,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",127.636069271654,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q4",129.928106070776,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",132.406749474472,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",134.662776232832,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",139.009226116765,
"AUT","HOUSECOST","RENT","IDX2015","Q","2019-Q2",114.443807236716,
"AUT","HOUSECOST","RENT","IDX2015","Q","2019-Q3",115.036653974616,
"AUT","HOUSECOST","RENT","IDX2015","Q","2019-Q4",115.437033764419,
"AUT","HOUSECOST","RENT","IDX2015","Q","2020-Q1",116.876940061656,
"AUT","HOUSECOST","RENT","IDX2015","Q","2020-Q2",118.354147478238,
"AUT","HOUSECOST","RENT","IDX2015","Q","2020-Q3",120.273830674774,
"AUT","HOUSECOST","RENT","IDX2015","Q","2020-Q4",121.874489192392,
"AUT","HOUSECOST","RENT","IDX2015","Q","2021-Q1",123.142169555601,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",112.702469841859,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",114.578333902059,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q4",115.676247231056,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",116.120817273782,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",117.756216598502,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",118.155979472709,
"BEL","HOUSECOST","RENT","IDX2015","Q","2019-Q2",103.943772561496,
"BEL","HOUSECOST","RENT","IDX2015","Q","2019-Q3",104.350808257564,
"BEL","HOUSECOST","RENT","IDX2015","Q","2019-Q4",104.800651897085,
"BEL","HOUSECOST","RENT","IDX2015","Q","2020-Q1",106.202917628357,
"BEL","HOUSECOST","RENT","IDX2015","Q","2020-Q2",106.785378718187,
"BEL","HOUSECOST","RENT","IDX2015","Q","2020-Q3",106.867681888576,
"BEL","HOUSECOST","RENT","IDX2015","Q","2020-Q4",108.075753862309,
"BEL","HOUSECOST","RENT","IDX2015","Q","2021-Q1",108.031627883069,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",129.016687376489,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",129.444032109117,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q4",130.944350284622,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",133.297592375692,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",136.431265391631,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",137.26326242569,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",142.441523567829,
"CAN","HOUSECOST","RENT","IDX2015","Q","2019-Q2",104.698555855833,
"CAN","HOUSECOST","RENT","IDX2015","Q","2019-Q3",105.619863519478,
"CAN","HOUSECOST","RENT","IDX2015","Q","2019-Q4",106.392845675939,
"CAN","HOUSECOST","RENT","IDX2015","Q","2020-Q1",106.926890855306,
"CAN","HOUSECOST","RENT","IDX2015","Q","2020-Q2",106.606872311305,
"CAN","HOUSECOST","RENT","IDX2015","Q","2020-Q3",107.065158316864,
"CAN","HOUSECOST","RENT","IDX2015","Q","2020-Q4",107.452121322493,
"CAN","HOUSECOST","RENT","IDX2015","Q","2021-Q1",107.277053410562,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",140.431915660821,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",143.151333478147,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q4",146.627356778351,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",149.230016111597,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",151.295822484835,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",155.119927299748,
"CZE","HOUSECOST","RENT","IDX2015","Q","2019-Q2",109.724164260039,
"CZE","HOUSECOST","RENT","IDX2015","Q","2019-Q3",111.233679803738,
"CZE","HOUSECOST","RENT","IDX2015","Q","2019-Q4",111.931459047447,
"CZE","HOUSECOST","RENT","IDX2015","Q","2020-Q1",113.29607853441,
"CZE","HOUSECOST","RENT","IDX2015","Q","2020-Q2",113.836453687669,
"CZE","HOUSECOST","RENT","IDX2015","Q","2020-Q3",113.969236351866,
"CZE","HOUSECOST","RENT","IDX2015","Q","2020-Q4",114.164854194618,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q1",114.577237387694,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",117.191495684969,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",117.780564207611,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q4",118.633051269954,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",118.933343345587,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",118.868278785938,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",124.290249043623,
"DNK","HOUSECOST","RENT","IDX2015","Q","2019-Q2",104.953192263056,
"DNK","HOUSECOST","RENT","IDX2015","Q","2019-Q3",105.222580448461,
"DNK","HOUSECOST","RENT","IDX2015","Q","2019-Q4",105.507643133859,
"DNK","HOUSECOST","RENT","IDX2015","Q","2020-Q1",105.739816919678,
"DNK","HOUSECOST","RENT","IDX2015","Q","2020-Q2",105.964987010243,
"DNK","HOUSECOST","RENT","IDX2015","Q","2020-Q3",106.230230486539,
"DNK","HOUSECOST","RENT","IDX2015","Q","2020-Q4",106.496299843238,
"DNK","HOUSECOST","RENT","IDX2015","Q","2021-Q1",106.769879755634,
